Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
351,[H]C6([H])[C@]([H])(O[C@]3([H])O[C@@]([H])([C@@]([...,1031.2,10.0,21.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
352,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@](...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
353,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@](...,708.9,8.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
354,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
355,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,708.9,8.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
356,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
357,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
358,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
359,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([...,738.9,8.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
360,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([...,708.9,8.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
361,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([...,708.9,8.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
362,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@](...,708.9,8.0,12.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
363,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
364,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C...,779.0,7.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
365,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
366,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
367,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
368,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
369,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C...,809.0,7.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
370,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@...,779.0,7.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
371,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@...,779.0,7.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
372,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([...,2500.7,15.0,56.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
